#TYPE Selected.System.ServiceProcess.ServiceController
"DisplayName","Name"
"ActiveX Installer (AxInstSV)","AxInstSV"
"AllJoyn Router Service","AJRouter"
"App Readiness","AppReadiness"
"Application Identity","AppIDSvc"
"Application Layer Gateway Service","ALG"
"Application Management","AppMgmt"
"AppX Deployment Service (AppXSVC)","AppXSvc"
"AssignedAccessManager Service","AssignedAccessManagerSvc"
"Auto Time Zone Updater","tzautoupdate"
"AVCTP service","BthAvctpSvc"
"Background Intelligent Transfer Service","BITS"
"BitLocker Drive Encryption Service","BDESVC"
"Block Level Backup Engine Service","wbengine"
"Bluetooth Audio Gateway Service","BTAGService"
"Bluetooth Support Service","bthserv"
"Bluetooth User Support Service_3fbeb","BluetoothUserService_3fbeb"
"BranchCache","PeerDistSvc"
"Capability Access Manager Service","camsvc"
"CaptureService_3fbeb","CaptureService_3fbeb"
"Certificate Propagation","CertPropSvc"
"Client License Service (ClipSVC)","ClipSVC"
"ConsentUX_3fbeb","ConsentUxUserSvc_3fbeb"
"Contact Data_3fbeb","PimIndexMaintenanceSvc_3fbeb"
"Data Sharing Service","DsSvc"
"Data Usage","DusmSvc"
"Delivery Optimization","DoSvc"
"Device Association Service","DeviceAssociationService"
"Device Install Service","DeviceInstall"
"Device Management Enrollment Service","DmEnrollmentSvc"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service","dmwappushservice"
"Device Setup Manager","DsmSvc"
"DevicePicker_3fbeb","DevicePickerUserSvc_3fbeb"
"DevicesFlow_3fbeb","DevicesFlowUserSvc_3fbeb"
"DevQuery Background Discovery Broker","DevQueryBroker"
"Diagnostic Execution Service","diagsvc"
"Diagnostic Policy Service","DPS"
"Diagnostic Service Host","WdiServiceHost"
"Diagnostic System Host","WdiSystemHost"
"Display Enhancement Service","DisplayEnhancementService"
"Distributed Link Tracking Client","TrkWks"
"Downloaded Maps Manager","MapsBroker"
"Embedded Mode","embeddedmode"
"Encrypting File System (EFS)","EFS"
"Enterprise App Management Service","EntAppSvc"
